timecreated,dayofsemester,court,dayofcuort,monthh,dayofmonth,weekk,dayofweek,hourr,holidayss,loggedin
2022-03-23 00:00:00,2,1,2,1,2,1,2,0,0,65
2022-03-23 01:00:00,2,1,2,1,2,1,2,1,0,59
2022-03-23 02:00:00,2,1,2,1,2,1,2,2,0,70
2022-03-23 03:00:00,2,1,2,1,2,1,2,3,0,114
2022-03-23 04:00:00,2,1,2,1,2,1,2,4,0,60
2022-03-23 05:00:00,2,1,2,1,2,1,2,5,0,32
2022-03-23 06:00:00,2,1,2,1,2,1,2,6,0,7
2022-03-23 07:00:00,2,1,2,1,2,1,2,7,0,3
2022-03-23 08:00:00,2,1,2,1,2,1,2,8,0,4
2022-03-23 09:00:00,2,1,2,1,2,1,2,9,0,17
2022-03-23 10:00:00,2,1,2,1,2,1,2,10,0,40
2022-03-23 11:00:00,2,1,2,1,2,1,2,11,0,95
2022-03-23 12:00:00,2,1,2,1,2,1,2,12,0,113
2022-03-23 13:00:00,2,1,2,1,2,1,2,13,0,104
2022-03-23 14:00:00,2,1,2,1,2,1,2,14,0,87
2022-03-23 15:00:00,2,1,2,1,2,1,2,15,0,113
2022-03-23 16:00:00,2,1,2,1,2,1,2,16,0,96
2022-03-23 17:00:00,2,1,2,1,2,1,2,17,0,80
2022-03-23 18:00:00,2,1,2,1,2,1,2,18,0,75
2022-03-23 19:00:00,2,1,2,1,2,1,2,19,0,91
2022-03-23 20:00:00,2,1,2,1,2,1,2,20,0,102
2022-03-23 21:00:00,2,1,2,1,2,1,2,21,0,68
2022-03-23 22:00:00,2,1,2,1,2,1,2,22,0,81
2022-03-23 23:00:00,2,1,2,1,2,1,2,23,0,91
2022-03-24 00:00:00,3,1,3,1,3,1,3,0,0,102
2022-03-24 01:00:00,3,1,3,1,3,1,3,1,0,80
2022-03-24 02:00:00,3,1,3,1,3,1,3,2,0,78
2022-03-24 03:00:00,3,1,3,1,3,1,3,3,0,60
2022-03-24 04:00:00,3,1,3,1,3,1,3,4,0,36
2022-03-24 05:00:00,3,1,3,1,3,1,3,5,0,10
2022-03-24 06:00:00,3,1,3,1,3,1,3,6,0,5
2022-03-24 07:00:00,3,1,3,1,3,1,3,7,0,3
2022-03-24 08:00:00,3,1,3,1,3,1,3,8,0,3
2022-03-24 09:00:00,3,1,3,1,3,1,3,9,0,6
2022-03-24 10:00:00,3,1,3,1,3,1,3,10,0,18
2022-03-24 11:00:00,3,1,3,1,3,1,3,11,0,36
2022-03-24 12:00:00,3,1,3,1,3,1,3,12,0,65
2022-03-24 13:00:00,3,1,3,1,3,1,3,13,0,103
2022-03-24 14:00:00,3,1,3,1,3,1,3,14,0,110
2022-03-24 15:00:00,3,1,3,1,3,1,3,15,0,107
2022-03-24 16:00:00,3,1,3,1,3,1,3,16,0,87
2022-03-24 17:00:00,3,1,3,1,3,1,3,17,0,67
2022-03-24 18:00:00,3,1,3,1,3,1,3,18,0,63
2022-03-24 19:00:00,3,1,3,1,3,1,3,19,0,81
2022-03-24 20:00:00,3,1,3,1,3,1,3,20,0,78
2022-03-24 21:00:00,3,1,3,1,3,1,3,21,0,78
2022-03-24 22:00:00,3,1,3,1,3,1,3,22,0,85
2022-03-24 23:00:00,3,1,3,1,3,1,3,23,0,71
2022-03-25 00:00:00,4,1,4,1,4,1,4,0,0,58
2022-03-25 01:00:00,4,1,4,1,4,1,4,1,0,84
2022-03-25 02:00:00,4,1,4,1,4,1,4,2,0,88
2022-03-25 03:00:00,4,1,4,1,4,1,4,3,0,72
2022-03-25 04:00:00,4,1,4,1,4,1,4,4,0,22
2022-03-25 05:00:00,4,1,4,1,4,1,4,5,0,13
2022-03-25 06:00:00,4,1,4,1,4,1,4,6,0,3
2022-03-25 07:00:00,4,1,4,1,4,1,4,7,0,2
2022-03-25 08:00:00,4,1,4,1,4,1,4,8,0,2
2022-03-25 09:00:00,4,1,4,1,4,1,4,9,0,5
2022-03-25 10:00:00,4,1,4,1,4,1,4,10,0,14
2022-03-25 11:00:00,4,1,4,1,4,1,4,11,0,33
2022-03-25 12:00:00,4,1,4,1,4,1,4,12,0,54
2022-03-25 13:00:00,4,1,4,1,4,1,4,13,0,114
2022-03-25 14:00:00,4,1,4,1,4,1,4,14,0,116
2022-03-25 15:00:00,4,1,4,1,4,1,4,15,0,114
2022-03-25 16:00:00,4,1,4,1,4,1,4,16,0,103
2022-03-25 17:00:00,4,1,4,1,4,1,4,17,0,76
2022-03-25 18:00:00,4,1,4,1,4,1,4,18,0,50
2022-03-25 19:00:00,4,1,4,1,4,1,4,19,0,24
2022-03-25 20:00:00,4,1,4,1,4,1,4,20,0,41
2022-03-25 21:00:00,4,1,4,1,4,1,4,21,0,111
2022-03-25 22:00:00,4,1,4,1,4,1,4,22,0,90
2022-03-25 23:00:00,4,1,4,1,4,1,4,23,0,96
2022-03-26 00:00:00,5,1,5,1,5,1,5,0,0,103
2022-03-26 01:00:00,5,1,5,1,5,1,5,1,0,79
2022-03-26 02:00:00,5,1,5,1,5,1,5,2,0,81
2022-03-26 03:00:00,5,1,5,1,5,1,5,3,0,51
2022-03-26 04:00:00,5,1,5,1,5,1,5,4,0,36
2022-03-26 05:00:00,5,1,5,1,5,1,5,5,0,10
2022-03-26 06:00:00,5,1,5,1,5,1,5,6,0,8
2022-03-26 07:00:00,5,1,5,1,5,1,5,7,0,4
2022-03-26 08:00:00,5,1,5,1,5,1,5,8,0,0
2022-03-26 09:00:00,5,1,5,1,5,1,5,9,0,6
2022-03-26 10:00:00,5,1,5,1,5,1,5,10,0,12
2022-03-26 11:00:00,5,1,5,1,5,1,5,11,0,23
2022-03-26 12:00:00,5,1,5,1,5,1,5,12,0,70
2022-03-26 13:00:00,5,1,5,1,5,1,5,13,0,72
2022-03-26 14:00:00,5,1,5,1,5,1,5,14,0,107
2022-03-26 15:00:00,5,1,5,1,5,1,5,15,0,106
2022-03-26 16:00:00,5,1,5,1,5,1,5,16,0,109
2022-03-26 17:00:00,5,1,5,1,5,1,5,17,0,117
2022-03-26 18:00:00,5,1,5,1,5,1,5,18,0,78
2022-03-26 19:00:00,5,1,5,1,5,1,5,19,0,70
2022-03-26 20:00:00,5,1,5,1,5,1,5,20,0,106
2022-03-26 21:00:00,5,1,5,1,5,1,5,21,0,63
2022-03-26 22:00:00,5,1,5,1,5,1,5,22,0,67
2022-03-26 23:00:00,5,1,5,1,5,1,5,23,0,71
2022-03-27 00:00:00,6,1,6,1,6,1,6,0,0,73
2022-03-27 01:00:00,6,1,6,1,6,1,6,1,0,55
2022-03-27 02:00:00,6,1,6,1,6,1,6,2,0,49
2022-03-27 03:00:00,6,1,6,1,6,1,6,3,0,34
2022-03-27 04:00:00,6,1,6,1,6,1,6,4,0,26
2022-03-27 05:00:00,6,1,6,1,6,1,6,5,0,16
2022-03-27 06:00:00,6,1,6,1,6,1,6,6,0,6
2022-03-27 07:00:00,6,1,6,1,6,1,6,7,0,1
2022-03-27 08:00:00,6,1,6,1,6,1,6,8,0,1
2022-03-27 09:00:00,6,1,6,1,6,1,6,9,0,6
2022-03-27 10:00:00,6,1,6,1,6,1,6,10,0,2
2022-03-27 11:00:00,6,1,6,1,6,1,6,11,0,9
2022-03-27 12:00:00,6,1,6,1,6,1,6,12,0,20
2022-03-27 13:00:00,6,1,6,1,6,1,6,13,0,32
2022-03-27 14:00:00,6,1,6,1,6,1,6,14,0,66
2022-03-27 15:00:00,6,1,6,1,6,1,6,15,0,115
2022-03-27 16:00:00,6,1,6,1,6,1,6,16,0,113
2022-03-27 17:00:00,6,1,6,1,6,1,6,17,0,84
2022-03-27 18:00:00,6,1,6,1,6,1,6,18,0,94
2022-03-27 19:00:00,6,1,6,1,6,1,6,19,0,121
2022-03-27 20:00:00,6,1,6,1,6,1,6,20,0,103
2022-03-27 21:00:00,6,1,6,1,6,1,6,21,0,96
2022-03-27 22:00:00,6,1,6,1,6,1,6,22,0,104
2022-03-27 23:00:00,6,1,6,1,6,1,6,23,0,98
2022-03-28 00:00:00,7,1,7,1,7,2,0,0,0,100
2022-03-28 01:00:00,7,1,7,1,7,2,0,1,0,110
2022-03-28 02:00:00,7,1,7,1,7,2,0,2,0,109
2022-03-28 03:00:00,7,1,7,1,7,2,0,3,0,82
2022-03-28 04:00:00,7,1,7,1,7,2,0,4,0,44
2022-03-28 05:00:00,7,1,7,1,7,2,0,5,0,13
2022-03-28 06:00:00,7,1,7,1,7,2,0,6,0,4
2022-03-28 07:00:00,7,1,7,1,7,2,0,7,0,9
2022-03-28 08:00:00,7,1,7,1,7,2,0,8,0,3
2022-03-28 09:00:00,7,1,7,1,7,2,0,9,0,8
2022-03-28 10:00:00,7,1,7,1,7,2,0,10,0,19
2022-03-28 11:00:00,7,1,7,1,7,2,0,11,0,71
2022-03-28 12:00:00,7,1,7,1,7,2,0,12,0,117
2022-03-28 13:00:00,7,1,7,1,7,2,0,13,0,182
2022-03-28 14:00:00,7,1,7,1,7,2,0,14,0,169
2022-03-28 15:00:00,7,1,7,1,7,2,0,15,0,181
2022-03-28 16:00:00,7,1,7,1,7,2,0,16,0,133
2022-03-28 17:00:00,7,1,7,1,7,2,0,17,0,130
2022-03-28 18:00:00,7,1,7,1,7,2,0,18,0,166
2022-03-28 19:00:00,7,1,7,1,7,2,0,19,0,192
2022-03-28 20:00:00,7,1,7,1,7,2,0,20,0,183
2022-03-28 21:00:00,7,1,7,1,7,2,0,21,0,167
2022-03-28 22:00:00,7,1,7,1,7,2,0,22,0,172
2022-03-28 23:00:00,7,1,7,1,7,2,0,23,0,151
2022-03-29 00:00:00,8,1,8,1,8,2,1,0,0,196
2022-03-29 01:00:00,8,1,8,1,8,2,1,1,0,163
2022-03-29 02:00:00,8,1,8,1,8,2,1,2,0,147
2022-03-29 03:00:00,8,1,8,1,8,2,1,3,0,156
2022-03-29 04:00:00,8,1,8,1,8,2,1,4,0,65
2022-03-29 05:00:00,8,1,8,1,8,2,1,5,0,13
2022-03-29 06:00:00,8,1,8,1,8,2,1,6,0,7
2022-03-29 07:00:00,8,1,8,1,8,2,1,7,0,4
2022-03-29 08:00:00,8,1,8,1,8,2,1,8,0,2
2022-03-29 09:00:00,8,1,8,1,8,2,1,9,0,8
2022-03-29 10:00:00,8,1,8,1,8,2,1,10,0,24
2022-03-29 11:00:00,8,1,8,1,8,2,1,11,0,77
2022-03-29 12:00:00,8,1,8,1,8,2,1,12,0,126
2022-03-29 13:00:00,8,1,8,1,8,2,1,13,0,210
2022-03-29 14:00:00,8,1,8,1,8,2,1,14,0,264
2022-03-29 15:00:00,8,1,8,1,8,2,1,15,0,363
2022-03-29 16:00:00,8,1,8,1,8,2,1,16,0,255
2022-03-29 17:00:00,8,1,8,1,8,2,1,17,0,188
2022-03-29 18:00:00,8,1,8,1,8,2,1,18,0,187
2022-03-29 19:00:00,8,1,8,1,8,2,1,19,0,251
2022-03-29 20:00:00,8,1,8,1,8,2,1,20,0,209
2022-03-29 21:00:00,8,1,8,1,8,2,1,21,0,212
2022-03-29 22:00:00,8,1,8,1,8,2,1,22,0,160
2022-03-29 23:00:00,8,1,8,1,8,2,1,23,0,230
2022-03-30 00:00:00,9,1,9,1,9,2,2,0,0,190
2022-03-30 01:00:00,9,1,9,1,9,2,2,1,0,210
2022-03-30 02:00:00,9,1,9,1,9,2,2,2,0,234
2022-03-30 03:00:00,9,1,9,1,9,2,2,3,0,166
2022-03-30 04:00:00,9,1,9,1,9,2,2,4,0,64
2022-03-30 05:00:00,9,1,9,1,9,2,2,5,0,25
2022-03-30 06:00:00,9,1,9,1,9,2,2,6,0,9
2022-03-30 07:00:00,9,1,9,1,9,2,2,7,0,2
2022-03-30 08:00:00,9,1,9,1,9,2,2,8,0,3
2022-03-30 09:00:00,9,1,9,1,9,2,2,9,0,16
2022-03-30 10:00:00,9,1,9,1,9,2,2,10,0,40
2022-03-30 11:00:00,9,1,9,1,9,2,2,11,0,82
2022-03-30 12:00:00,9,1,9,1,9,2,2,12,0,132
2022-03-30 13:00:00,9,1,9,1,9,2,2,13,0,223
2022-03-30 14:00:00,9,1,9,1,9,2,2,14,0,282
2022-03-30 15:00:00,9,1,9,1,9,2,2,15,0,347
2022-03-30 16:00:00,9,1,9,1,9,2,2,16,0,225
2022-03-30 17:00:00,9,1,9,1,9,2,2,17,0,204
2022-03-30 18:00:00,9,1,9,1,9,2,2,18,0,193
2022-03-30 19:00:00,9,1,9,1,9,2,2,19,0,207
2022-03-30 20:00:00,9,1,9,1,9,2,2,20,0,240
2022-03-30 21:00:00,9,1,9,1,9,2,2,21,0,239
2022-03-30 22:00:00,9,1,9,1,9,2,2,22,0,244
2022-03-30 23:00:00,9,1,9,1,9,2,2,23,0,253
2022-03-31 00:00:00,10,1,10,1,10,2,3,0,0,265
2022-03-31 01:00:00,10,1,10,1,10,2,3,1,0,243
2022-03-31 02:00:00,10,1,10,1,10,2,3,2,0,196
2022-03-31 03:00:00,10,1,10,1,10,2,3,3,0,199
2022-03-31 04:00:00,10,1,10,1,10,2,3,4,0,67
2022-03-31 05:00:00,10,1,10,1,10,2,3,5,0,29
2022-03-31 06:00:00,10,1,10,1,10,2,3,6,0,8
2022-03-31 07:00:00,10,1,10,1,10,2,3,7,0,2
2022-03-31 08:00:00,10,1,10,1,10,2,3,8,0,1
2022-03-31 09:00:00,10,1,10,1,10,2,3,9,0,11
2022-03-31 10:00:00,10,1,10,1,10,2,3,10,0,40
2022-03-31 11:00:00,10,1,10,1,10,2,3,11,0,182
2022-03-31 12:00:00,10,1,10,1,10,2,3,12,0,129
2022-03-31 13:00:00,10,1,10,1,10,2,3,13,0,264
2022-03-31 14:00:00,10,1,10,1,10,2,3,14,0,298
2022-03-31 15:00:00,10,1,10,1,10,2,3,15,0,321
2022-03-31 16:00:00,10,1,10,1,10,2,3,16,0,230
2022-03-31 17:00:00,10,1,10,1,10,2,3,17,0,207
2022-03-31 18:00:00,10,1,10,1,10,2,3,18,0,199
2022-03-31 19:00:00,10,1,10,1,10,2,3,19,0,276
2022-03-31 20:00:00,10,1,10,1,10,2,3,20,0,251
2022-03-31 21:00:00,10,1,10,1,10,2,3,21,0,244
2022-03-31 22:00:00,10,1,10,1,10,2,3,22,0,206
2022-03-31 23:00:00,10,1,10,1,10,2,3,23,0,196
2022-04-01 00:00:00,11,1,11,1,11,2,4,0,0,248
2022-04-01 01:00:00,11,1,11,1,11,2,4,1,0,219
2022-04-01 02:00:00,11,1,11,1,11,2,4,2,0,224
2022-04-01 03:00:00,11,1,11,1,11,2,4,3,0,182
2022-04-01 04:00:00,11,1,11,1,11,2,4,4,0,80
2022-04-01 05:00:00,11,1,11,1,11,2,4,5,0,31
2022-04-01 06:00:00,11,1,11,1,11,2,4,6,0,10
2022-04-01 07:00:00,11,1,11,1,11,2,4,7,0,8
2022-04-01 08:00:00,11,1,11,1,11,2,4,8,0,3
2022-04-01 09:00:00,11,1,11,1,11,2,4,9,0,19
2022-04-01 10:00:00,11,1,11,1,11,2,4,10,0,27
2022-04-01 11:00:00,11,1,11,1,11,2,4,11,0,110
2022-04-01 12:00:00,11,1,11,1,11,2,4,12,0,153
2022-04-01 13:00:00,11,1,11,1,11,2,4,13,0,232
2022-04-01 14:00:00,11,1,11,1,11,2,4,14,0,220
2022-04-01 15:00:00,11,1,11,1,11,2,4,15,0,293
2022-04-01 16:00:00,11,1,11,1,11,2,4,16,0,217
2022-04-01 17:00:00,11,1,11,1,11,2,4,17,0,215
2022-04-01 18:00:00,11,1,11,1,11,2,4,18,0,195
2022-04-01 19:00:00,11,1,11,1,11,2,4,19,0,219
2022-04-01 20:00:00,11,1,11,1,11,2,4,20,0,211
2022-04-01 21:00:00,11,1,11,1,11,2,4,21,0,221
2022-04-01 22:00:00,11,1,11,1,11,2,4,22,0,235
2022-04-01 23:00:00,11,1,11,1,11,2,4,23,0,160
2022-04-02 00:00:00,12,1,12,1,12,2,5,0,0,176
2022-04-02 01:00:00,12,1,12,1,12,2,5,1,0,204
2022-04-02 02:00:00,12,1,12,1,12,2,5,2,0,212
2022-04-02 03:00:00,12,1,12,1,12,2,5,3,0,147
2022-04-02 04:00:00,12,1,12,1,12,2,5,4,0,63
2022-04-02 05:00:00,12,1,12,1,12,2,5,5,0,18
2022-04-02 06:00:00,12,1,12,1,12,2,5,6,0,8
2022-04-02 07:00:00,12,1,12,1,12,2,5,7,0,9
2022-04-02 08:00:00,12,1,12,1,12,2,5,8,0,3
2022-04-02 09:00:00,12,1,12,1,12,2,5,9,0,5
2022-04-02 10:00:00,12,1,12,1,12,2,5,10,0,19
2022-04-02 11:00:00,12,1,12,1,12,2,5,11,0,60
2022-04-02 12:00:00,12,1,12,1,12,2,5,12,0,184
2022-04-02 13:00:00,12,1,12,1,12,2,5,13,0,164
2022-04-02 14:00:00,12,1,12,1,12,2,5,14,0,185
2022-04-02 15:00:00,12,1,12,1,12,2,5,15,0,228
2022-04-02 16:00:00,12,1,12,1,12,2,5,16,0,253
2022-04-02 17:00:00,12,1,12,1,12,2,5,17,0,233
2022-04-02 18:00:00,12,1,12,1,12,2,5,18,0,209
2022-04-02 19:00:00,12,1,12,1,12,2,5,19,0,219
2022-04-02 20:00:00,12,1,12,1,12,2,5,20,0,195
2022-04-02 21:00:00,12,1,12,1,12,2,5,21,0,208
2022-04-02 22:00:00,12,1,12,1,12,2,5,22,0,176
2022-04-02 23:00:00,12,1,12,1,12,2,5,23,0,152
2022-04-03 00:00:00,13,1,13,1,13,2,6,0,0,135
2022-04-03 01:00:00,13,1,13,1,13,2,6,1,0,143
2022-04-03 02:00:00,13,1,13,1,13,2,6,2,0,103
2022-04-03 03:00:00,13,1,13,1,13,2,6,3,0,93
2022-04-03 04:00:00,13,1,13,1,13,2,6,4,0,58
2022-04-03 05:00:00,13,1,13,1,13,2,6,5,0,26
2022-04-03 06:00:00,13,1,13,1,13,2,6,6,0,13
2022-04-03 07:00:00,13,1,13,1,13,2,6,7,0,5
2022-04-03 08:00:00,13,1,13,1,13,2,6,8,0,3
2022-04-03 09:00:00,13,1,13,1,13,2,6,9,0,0
2022-04-03 10:00:00,13,1,13,1,13,2,6,10,0,2
2022-04-03 11:00:00,13,1,13,1,13,2,6,11,0,20
2022-04-03 12:00:00,13,1,13,1,13,2,6,12,0,42
2022-04-03 13:00:00,13,1,13,1,13,2,6,13,0,111
2022-04-03 14:00:00,13,1,13,1,13,2,6,14,0,178
2022-04-03 15:00:00,13,1,13,1,13,2,6,15,0,242
2022-04-03 16:00:00,13,1,13,1,13,2,6,16,0,286
2022-04-03 17:00:00,13,1,13,1,13,2,6,17,0,228
2022-04-03 18:00:00,13,1,13,1,13,2,6,18,0,266
2022-04-03 19:00:00,13,1,13,1,13,2,6,19,0,256
2022-04-03 20:00:00,13,1,13,1,13,2,6,20,0,284
2022-04-03 21:00:00,13,1,13,1,13,2,6,21,0,282
2022-04-03 22:00:00,13,1,13,1,13,2,6,22,0,286
2022-04-03 23:00:00,13,1,13,1,13,2,6,23,0,280
2022-04-04 00:00:00,14,1,14,1,14,3,0,0,0,235
2022-04-04 01:00:00,14,1,14,1,14,3,0,1,0,235
2022-04-04 02:00:00,14,1,14,1,14,3,0,2,0,205
2022-04-04 03:00:00,14,1,14,1,14,3,0,3,0,180
2022-04-04 04:00:00,14,1,14,1,14,3,0,4,0,91
2022-04-04 05:00:00,14,1,14,1,14,3,0,5,0,47
2022-04-04 06:00:00,14,1,14,1,14,3,0,6,0,26
2022-04-04 07:00:00,14,1,14,1,14,3,0,7,0,4
2022-04-04 08:00:00,14,1,14,1,14,3,0,8,0,10
2022-04-04 09:00:00,14,1,14,1,14,3,0,9,0,14
2022-04-04 10:00:00,14,1,14,1,14,3,0,10,0,24
2022-04-04 11:00:00,14,1,14,1,14,3,0,11,0,120
2022-04-04 12:00:00,14,1,14,1,14,3,0,12,0,169
2022-04-04 13:00:00,14,1,14,1,14,3,0,13,0,368
2022-04-04 14:00:00,14,1,14,1,14,3,0,14,0,331
2022-04-04 15:00:00,14,1,14,1,14,3,0,15,0,313
2022-04-04 16:00:00,14,1,14,1,14,3,0,16,0,313
2022-04-04 17:00:00,14,1,14,1,14,3,0,17,0,282
2022-04-04 18:00:00,14,1,14,1,14,3,0,18,0,306
2022-04-04 19:00:00,14,1,14,1,14,3,0,19,0,325
2022-04-04 20:00:00,14,1,14,1,14,3,0,20,0,373
2022-04-04 21:00:00,14,1,14,1,14,3,0,21,0,325
2022-04-04 22:00:00,14,1,14,1,14,3,0,22,0,270
2022-04-04 23:00:00,14,1,14,1,14,3,0,23,0,332
2022-04-05 00:00:00,15,1,15,1,15,3,1,0,0,322
2022-04-05 01:00:00,15,1,15,1,15,3,1,1,0,349
2022-04-05 02:00:00,15,1,15,1,15,3,1,2,0,313
2022-04-05 03:00:00,15,1,15,1,15,3,1,3,0,287
2022-04-05 04:00:00,15,1,15,1,15,3,1,4,0,136
2022-04-05 05:00:00,15,1,15,1,15,3,1,5,0,47
2022-04-05 06:00:00,15,1,15,1,15,3,1,6,0,16
2022-04-05 07:00:00,15,1,15,1,15,3,1,7,0,8
2022-04-05 08:00:00,15,1,15,1,15,3,1,8,0,8
2022-04-05 09:00:00,15,1,15,1,15,3,1,9,0,12
2022-04-05 10:00:00,15,1,15,1,15,3,1,10,0,46
2022-04-05 11:00:00,15,1,15,1,15,3,1,11,0,175
2022-04-05 12:00:00,15,1,15,1,15,3,1,12,0,242
2022-04-05 13:00:00,15,1,15,1,15,3,1,13,0,327
2022-04-05 14:00:00,15,1,15,1,15,3,1,14,0,375
2022-04-05 15:00:00,15,1,15,1,15,3,1,15,0,387
2022-04-05 16:00:00,15,1,15,1,15,3,1,16,0,377
2022-04-05 17:00:00,15,1,15,1,15,3,1,17,0,255
2022-04-05 18:00:00,15,1,15,1,15,3,1,18,0,245
2022-04-05 19:00:00,15,1,15,1,15,3,1,19,0,322
2022-04-05 20:00:00,15,1,15,1,15,3,1,20,0,119
2022-04-05 21:00:00,15,1,15,1,15,3,1,21,0,81
2022-04-05 22:00:00,15,1,15,1,15,3,1,22,0,378
2022-04-05 23:00:00,15,1,15,1,15,3,1,23,0,365
2022-04-06 00:00:00,16,1,16,1,16,3,2,0,0,370
2022-04-06 01:00:00,16,1,16,1,16,3,2,1,0,475
2022-04-06 02:00:00,16,1,16,1,16,3,2,2,0,400
2022-04-06 03:00:00,16,1,16,1,16,3,2,3,0,300
2022-04-06 04:00:00,16,1,16,1,16,3,2,4,0,124
2022-04-06 05:00:00,16,1,16,1,16,3,2,5,0,53
2022-04-06 06:00:00,16,1,16,1,16,3,2,6,0,18
2022-04-06 07:00:00,16,1,16,1,16,3,2,7,0,9
2022-04-06 08:00:00,16,1,16,1,16,3,2,8,0,8
2022-04-06 09:00:00,16,1,16,1,16,3,2,9,0,20
2022-04-06 10:00:00,16,1,16,1,16,3,2,10,0,54
2022-04-06 11:00:00,16,1,16,1,16,3,2,11,0,205
2022-04-06 12:00:00,16,1,16,1,16,3,2,12,0,206
2022-04-06 13:00:00,16,1,16,1,16,3,2,13,0,337
2022-04-06 14:00:00,16,1,16,1,16,3,2,14,0,442
2022-04-06 15:00:00,16,1,16,1,16,3,2,15,0,397
2022-04-06 16:00:00,16,1,16,1,16,3,2,16,0,359
2022-04-06 17:00:00,16,1,16,1,16,3,2,17,0,296
2022-04-06 18:00:00,16,1,16,1,16,3,2,18,0,314
2022-04-06 19:00:00,16,1,16,1,16,3,2,19,0,358
2022-04-06 20:00:00,16,1,16,1,16,3,2,20,0,304
2022-04-06 21:00:00,16,1,16,1,16,3,2,21,0,336
2022-04-06 22:00:00,16,1,16,1,16,3,2,22,0,338
2022-04-06 23:00:00,16,1,16,1,16,3,2,23,0,364
2022-04-07 00:00:00,17,1,17,1,17,3,3,0,0,359
2022-04-07 01:00:00,17,1,17,1,17,3,3,1,0,346
2022-04-07 02:00:00,17,1,17,1,17,3,3,2,0,372
2022-04-07 03:00:00,17,1,17,1,17,3,3,3,0,268
2022-04-07 04:00:00,17,1,17,1,17,3,3,4,0,181
2022-04-07 05:00:00,17,1,17,1,17,3,3,5,0,47
2022-04-07 06:00:00,17,1,17,1,17,3,3,6,0,20
2022-04-07 07:00:00,17,1,17,1,17,3,3,7,0,8
2022-04-07 08:00:00,17,1,17,1,17,3,3,8,0,4
2022-04-07 09:00:00,17,1,17,1,17,3,3,9,0,29
2022-04-07 10:00:00,17,1,17,1,17,3,3,10,0,63
2022-04-07 11:00:00,17,1,17,1,17,3,3,11,0,167
2022-04-07 12:00:00,17,1,17,1,17,3,3,12,0,231
2022-04-07 13:00:00,17,1,17,1,17,3,3,13,0,383
2022-04-07 14:00:00,17,1,17,1,17,3,3,14,0,419
2022-04-07 15:00:00,17,1,17,1,17,3,3,15,0,429
2022-04-07 16:00:00,17,1,17,1,17,3,3,16,0,367
2022-04-07 17:00:00,17,1,17,1,17,3,3,17,0,283
2022-04-07 18:00:00,17,1,17,1,17,3,3,18,0,296
2022-04-07 19:00:00,17,1,17,1,17,3,3,19,0,325
2022-04-07 20:00:00,17,1,17,1,17,3,3,20,0,313
2022-04-07 21:00:00,17,1,17,1,17,3,3,21,0,363
2022-04-07 22:00:00,17,1,17,1,17,3,3,22,0,383
2022-04-07 23:00:00,17,1,17,1,17,3,3,23,0,433
2022-04-08 00:00:00,18,1,18,1,18,3,4,0,0,303
2022-04-08 01:00:00,18,1,18,1,18,3,4,1,0,339
2022-04-08 02:00:00,18,1,18,1,18,3,4,2,0,322
2022-04-08 03:00:00,18,1,18,1,18,3,4,3,0,252
2022-04-08 04:00:00,18,1,18,1,18,3,4,4,0,148
2022-04-08 05:00:00,18,1,18,1,18,3,4,5,0,44
2022-04-08 06:00:00,18,1,18,1,18,3,4,6,0,30
2022-04-08 07:00:00,18,1,18,1,18,3,4,7,0,11
2022-04-08 08:00:00,18,1,18,1,18,3,4,8,0,10
